"","regulator","regulated","effect"
"1","Fis","adhE","+"
"2","Fis","osmE","-"
"3","Fis","ansB","-"
"4","Fis","apaG","+"
"5","Fis","apaH","+"
"6","Fis","bglB","-"
"7","Fis","bglF","-"
"8","Fis","bglG","-"
"9","Fis","carA","+"
"10","Fis","carB","+"
"11","Fis","crp","-"
"12","Fis","cspA","+"
"13","Fis","cyoA","+"
"14","Fis","cyoB","+"
"15","Fis","cyoC","+"
"16","Fis","cyoD","+"
"17","Fis","cyoE","+"
"18","Fis","cysG","-"
"19","Fis","deoA","+"
"20","Fis","deoB","+"
"21","Fis","deoC","+"
"22","Fis","deoD","+"
"23","Fis","dmsA","-"
"24","Fis","dmsB","-"
"25","Fis","dmsC","-"
"26","Fis","fadA","+"
"27","Fis","fadB","+"
"28","Fis","fis","-"
"29","Fis","fumB","-"
"30","Fis","glnA","+"
"31","Fis","glnG","+"
"32","Fis","glnL","+"
"33","Fis","glnQ","-"
"34","Fis","glpA","+"
"35","Fis","glpB","+"
"36","Fis","glpC","+"
"37","Fis","glpQ","+"
"38","Fis","glpT","+"
"39","Fis","gltX","-"
"40","Fis","guaA","-"
"41","Fis","guaB","-"
"42","Fis","gyrA","-"
"43","Fis","gyrB","-"
"44","Fis","hns","+"
"45","Fis","hupA","+"
"46","Fis","hupB","-"
"47","Fis","hyaA","-"
"48","Fis","hyaB","-"
"49","Fis","hyaC","-"
"50","Fis","hyaD","-"
"51","Fis","hyaE","-"
"52","Fis","hyaF","-"
"53","Fis","infB","+"
"54","Fis","katE","-"
"55","Fis","rsmA","+"
"56","Fis","lpd","+"
"57","Fis","malE","+"
"58","Fis","malF","+"
"59","Fis","malG","+"
"60","Fis","mazE","+"
"61","Fis","mazG","+"
"62","Fis","mglA","-"
"63","Fis","mglC","-"
"64","Fis","mtlA","-"
"65","Fis","mtlD","-"
"66","Fis","nanA","-"
"67","Fis","narG","-"
"68","Fis","narH","-"
"69","Fis","narI","-"
"70","Fis","narJ","-"
"71","Fis","narK","-"
"72","Fis","ndh","+/-"
"73","Fis","nirB","-"
"74","Fis","nirC","-"
"75","Fis","nirD","-"
"76","Fis","nrdA","+"
"77","Fis","nrdB","+"
"78","Fis","nusA","+"
"79","Fis","ogt","-"
"80","Fis","pdxA","+"
"81","Fis","pflB","-"
"82","Fis","pnp","+"
"83","Fis","ptsG","+/-"
"84","Fis","pyrD","-"
"85","Fis","queA","+"
"86","Fis","rplM","-"
"87","Fis","rpsI","-"
"88","Fis","rpsO","+"
"89","Fis","topA","+/-"
"90","Fis","tpr","+"
"91","Fis","trg","+"
