,pvals_adj,logfcs,names,is_de
4,1.181336923639604e-09,-38.75458526611328,rsd,1
6,1.181336923639604e-09,-37.43444061279297,fecA,1
56,1.584801807687399e-09,-7.681915283203125,zinT,1
352,6.493697230334131e-07,-7.102903366088867,ykgO,1
448,2.06665584991271e-06,-6.957828521728516,ykgM,1
10,1.181336923639604e-09,-5.983800888061523,trpE,1
186,3.77255527778608e-08,5.614447593688965,tnaC,1
9,1.181336923639604e-09,-5.366267681121826,trpD,1
20,1.181336923639604e-09,-5.115625858306885,csgD,1
12,1.181336923639604e-09,-4.9705424308776855,dtpA,1
16,1.181336923639604e-09,-4.889826774597168,znuA,1
171,2.3828004648559798e-08,-4.818662166595459,trpL,1
77,3.5125967793956393e-09,-4.696985244750977,csgF,1
227,9.334514633123257e-08,-4.570323944091797,aroF,1
0,1.181336923639604e-09,-4.440749645233154,ompR,1
162,1.9167230681275802e-08,-4.3469929695129395,csgE,1
179,3.183253134348893e-08,4.336719036102295,napF,1
195,4.426668346212102e-08,4.2564167976379395,napD,1
15,1.181336923639604e-09,-4.231189727783203,mtr,1
100,4.509611066418203e-09,-4.133083343505859,ymdF,1
96,4.509611066418203e-09,-4.08193302154541,envZ,1
31,1.2708775218545033e-09,4.076787948608398,fruB,1
11,1.181336923639604e-09,-4.034244060516357,trpC,1
286,2.435918119323162e-07,-4.019343852996826,tyrA,1
36,1.404337025998307e-09,-4.0055975914001465,tyrP,1
5,1.181336923639604e-09,-3.755033254623413,mepM,1
2,1.181336923639604e-09,-3.7442474365234375,ompC,1
17,1.181336923639604e-09,3.6945488452911377,yjiH,1
1,1.181336923639604e-09,-3.510746717453003,trpB,1
24,1.181336923639604e-09,3.509706974029541,yedE,1
3,1.181336923639604e-09,-3.4354512691497803,trpA,1
91,4.509611066418203e-09,3.3748722076416016,ompW,1
71,2.2443444292814685e-09,3.320430040359497,flgB,1
14,1.181336923639604e-09,3.305429458618164,ydjY,1
315,4.389675997636647e-07,3.1325695514678955,narK,1
37,1.404337025998307e-09,3.125913143157959,flgD,1
94,4.509611066418203e-09,3.0891406536102295,yedF,1
205,5.3909144234823244e-08,-3.025998115539551,pliG,1
638,2.1720440083881675e-05,2.9709978103637695,nirB,1
142,1.1734030285343995e-08,2.90425968170166,flgC,1
430,1.6452781140628337e-06,2.8959720134735107,narG,1
420,1.562117178652328e-06,-2.8638768196105957,yhdV,1
7,1.181336923639604e-09,-2.6336326599121094,ompF,1
212,6.631701385633805e-08,2.6085729598999023,ydfZ,1
108,5.60967185181715e-09,2.602591037750244,ycbJ,1
317,4.389675997636647e-07,2.5794477462768555,nikA,1
45,1.5097171724501028e-09,2.527557134628296,fliF,1
86,4.16982284553845e-09,2.5164620876312256,wcaE,1
340,5.899673057446076e-07,2.4766647815704346,dmsA,1
49,1.5796666809079158e-09,2.4674270153045654,fliA,1
38,1.404337025998307e-09,2.4401378631591797,fruK,1
57,1.584801807687399e-09,2.4099650382995605,flgE,1
210,6.169873048436e-08,2.406038284301758,hybO,1
244,1.387527227394141e-07,-2.4032068252563477,narU,1
125,8.887427811171967e-09,2.3934712409973145,flgA,1
236,1.097884135060799e-07,2.381687879562378,wzb,1
216,7.694903824808608e-08,-2.3584342002868652,znuC,1
307,3.8882852727194943e-07,2.348369598388672,dcuC,1
97,4.509611066418203e-09,-2.343444347381592,fecB,1
155,1.5809047434155503e-08,2.3358349800109863,fliJ,1
25,1.181336923639604e-09,-2.3296866416931152,aroH,1
154,1.5809047434155503e-08,2.328784465789795,grcA,1
194,4.426668346212102e-08,2.326411008834839,ylcI,1
287,2.6240774697597297e-07,2.295592784881592,hypB,1
173,2.5472681395347943e-08,2.271686553955078,fliL,1
268,2.055234340949544e-07,2.2686095237731934,napA,1
290,2.7877246671290734e-07,2.256892442703247,aspA,1
230,9.942764452587253e-08,2.246892213821411,yjjI,1
73,3.091883374481698e-09,-2.246755361557007,aroL,1
111,5.910251406866959e-09,2.244335651397705,flgF,1
284,2.435918119323162e-07,2.2360997200012207,ynfK,1
491,3.5778965142055147e-06,2.230013370513916,tdcA,1
55,1.584801807687399e-09,2.2252931594848633,flgG,1
396,1.2147845217092695e-06,-2.2240028381347656,znuB,1
309,4.027263960864072e-07,2.218312978744507,hypA,1
370,8.607143821079991e-07,2.210885763168335,sodB,1
176,2.8558865316154106e-08,2.2058560848236084,fliN,1
50,1.5796666809079158e-09,2.1947314739227295,flgH,1
46,1.5097171724501028e-09,-2.1899802684783936,yecD,1
99,4.509611066418203e-09,-2.1810073852539062,csgG,1
139,1.1319212558970282e-08,2.1763980388641357,wcaH,1
42,1.4377484737330762e-09,2.1753532886505127,ynjE,1
90,4.509611066418203e-09,2.138864278793335,wcaG,1
101,4.509611066418203e-09,2.1258604526519775,gmd,1
18,1.181336923639604e-09,2.113098621368408,yjbE,1
78,3.5125967793956393e-09,2.1065261363983154,malK,1
484,3.3756879628677275e-06,-2.0843238830566406,ykgL,1
107,5.60967185181715e-09,2.075976848602295,napH,1
166,1.987575208476821e-08,2.050046920776367,fliH,1
