,pvals_adj,logfcs,names,is_de
11,3.210818725349855e-15,-39.35926818847656,rsd,1
21,3.210818725349855e-15,-36.67877960205078,fecA,1
29,3.210818725349855e-15,-10.486200332641602,ykgM,1
30,3.210818725349855e-15,-10.45313549041748,ykgO,1
1,3.210818725349855e-15,-9.394562721252441,zinT,1
27,3.210818725349855e-15,-6.689876556396484,ymdF,1
18,3.210818725349855e-15,6.031761169433594,yghW,1
6,3.210818725349855e-15,-5.839840888977051,znuA,1
737,3.6153974871650774e-07,-5.267237663269043,ykgR,1
37,3.210818725349855e-15,5.040966987609863,modA,1
98,1.887142304080915e-14,-4.552145957946777,csgE,1
7,3.210818725349855e-15,-4.480188369750977,mepM,1
93,1.5137164763167e-14,-4.437601566314697,csgD,1
97,1.741177411351365e-14,-4.138365745544434,csgF,1
25,3.210818725349855e-15,-3.8968889713287354,narU,1
14,3.210818725349855e-15,-3.8377342224121094,mqsR,1
19,3.210818725349855e-15,-3.7969727516174316,dtpA,1
2,3.210818725349855e-15,-3.650736093521118,pliG,1
40,3.2557094563153683e-15,-3.6466736793518066,ompR,1
105,2.2075913597618952e-14,3.5444424152374268,hybO,1
31,3.210818725349855e-15,-3.5305585861206055,yhdV,1
36,3.210818725349855e-15,3.477790355682373,modB,1
239,1.843140013444992e-12,3.441500186920166,fruB,1
38,3.210818725349855e-15,-3.3797335624694824,ykgL,1
380,9.652907392358871e-11,-3.3730154037475586,putA,1
101,2.1298185776865152e-14,3.366626024246216,ymgG,1
5,3.210818725349855e-15,-3.314302444458008,znuC,1
16,3.210818725349855e-15,-3.202758312225342,mqsA,1
34,3.210818725349855e-15,-3.18436861038208,envZ,1
42,3.308555252516226e-15,-3.1706414222717285,ompC,1
24,3.210818725349855e-15,-3.0434980392456055,narY,1
41,3.2557094563153683e-15,-2.9429874420166016,narZ,1
23,3.210818725349855e-15,-2.9172487258911133,narW,1
172,1.7921912317001422e-13,2.8650965690612793,gatB,1
116,3.031505954187782e-14,2.8191733360290527,ydfZ,1
165,1.5602552597272932e-13,2.7913808822631836,wcaE,1
4,3.210818725349855e-15,-2.772402048110962,znuB,1
32,3.210818725349855e-15,2.750380754470825,modC,1
0,3.210818725349855e-15,-2.693755626678467,uxaA,1
478,1.7941815721367788e-09,2.592824697494507,nirB,1
302,8.834515532879102e-12,2.5248494148254395,ybjM,1
3,3.210818725349855e-15,-2.4889113903045654,uxaC,1
251,2.5739300086919603e-12,-2.4757933616638184,yigI,1
176,2.0833815143125414e-13,2.4488396644592285,hybA,1
108,2.2075913597618952e-14,-2.436710834503174,apbE,1
82,9.67879882739843e-15,2.4006435871124268,grcA,1
39,3.210818725349855e-15,2.385599374771118,gmd,1
431,5.152065332415455e-10,2.35717511177063,narK,1
201,3.635553040156989e-13,2.34826922416687,wcaF,1
43,3.308555252516226e-15,-2.3346781730651855,narV,1
48,3.5121364704191788e-15,-2.3136959075927734,yfaZ,1
2093,0.038695360580112415,2.312497854232788,tnaC,1
209,6.470382342339023e-13,2.2968690395355225,fruK,1
914,5.497321399339053e-06,2.2736780643463135,metE,1
203,4.271398004685203e-13,2.184530735015869,wzb,1
185,2.3568615041441726e-13,2.1707537174224854,gatA,1
104,2.2075913597618952e-14,2.100768804550171,wcaG,1
395,1.466854183069209e-10,-2.0843591690063477,ydcI,1
85,1.193260501353014e-14,-2.0343716144561768,glnA,1
56,4.7633424469646346e-15,2.0215487480163574,gatZ,1
296,7.696400078109613e-12,2.0143964290618896,ylcI,1
45,3.4369487661813884e-15,-2.005077838897705,moaC,1
361,5.210539988169836e-11,-1.987734079360962,yejG,1
75,8.473858846014244e-15,-1.9843508005142212,kgtP,1
46,3.4369487661813884e-15,-1.9836273193359375,yoaG,1
125,3.43585600510926e-14,1.9705671072006226,nikA,1
126,3.727674612754758e-14,-1.9603197574615479,astC,1
415,3.438992378211366e-10,1.9592360258102417,ynfO,1
107,2.2075913597618952e-14,-1.9560415744781494,greB,1
484,2.1477680358034645e-09,1.9420514106750488,narG,1
189,3.0586463897518627e-13,1.9347889423370361,gatY,1
9,3.210818725349855e-15,-1.9266444444656372,yeaR,1
123,3.098287665544151e-14,1.9172823429107666,yjiH,1
110,2.2075913597618952e-14,1.9172683954238892,yjbE,1
35,3.210818725349855e-15,-1.884315013885498,moaB,1
67,6.549036826989209e-15,-1.8621790409088135,moaD,1
837,1.7573778053529404e-06,-1.8549790382385254,ymgC,1
767,5.884546771413419e-07,1.8493374586105347,ybcV,1
612,2.791674526486269e-08,-1.820339322090149,azuC,1
304,9.260330376591817e-12,-1.8050295114517212,phoH,1
342,2.137273332474655e-11,-1.8039761781692505,mhpR,1
54,4.639358870606661e-15,-1.802415132522583,csgG,1
103,2.2075913597618952e-14,1.8004543781280518,wcaA,1
65,6.549036826989209e-15,-1.7918767929077148,moaA,1
106,2.2075913597618952e-14,-1.7824796438217163,ompF,1
221,1.1416365280143471e-12,1.7809985876083374,wcaH,1
120,3.031505954187782e-14,1.7683780193328857,bdm,1
931,7.233568281623553e-06,1.765885353088379,metF,1
750,4.6105235141167783e-07,-1.7539409399032593,purE,1
50,3.594530069709115e-15,1.7441596984863281,rpmE,1
394,1.466854183069209e-10,-1.730612874031067,ugpB,1
692,1.6450414370451215e-07,-1.7265615463256836,zraP,1
288,6.0186724285217215e-12,-1.7131950855255127,kefG,1
438,5.887195755641677e-10,-1.7039477825164795,msrB,1
435,5.887195755641677e-10,-1.6894514560699463,ghxP,1
44,3.4369487661813884e-15,-1.6875172853469849,yecD,1
821,1.4491940339504852e-06,1.6844459772109985,appY,1
799,1.045484297267849e-06,1.6620367765426636,ibpB,1
197,3.635553040156989e-13,1.661933183670044,wza,1
187,2.7560269933981854e-13,-1.6554409265518188,yeiQ,1
618,3.298548438664044e-08,-1.6443555355072021,purM,1
280,4.736679824581302e-12,1.6304126977920532,ynfK,1
22,3.210818725349855e-15,1.62503182888031,sdaC,1
430,5.152065332415455e-10,1.6067219972610474,ybcW,1
191,3.2220750540966096e-13,1.6041440963745117,wcaD,1
1627,0.004992783729700826,1.5956170558929443,araD,1
20,3.210818725349855e-15,-1.590356469154358,ybaA,1
134,5.597007506614796e-14,1.586575984954834,pspA,1
263,3.084886531755023e-12,1.5799635648727417,cadB,1
137,5.809760255201967e-14,-1.5754079818725586,nrdG,1
122,3.031505954187782e-14,-1.5560986995697021,moaE,1
563,1.2135279721179714e-08,1.5538771152496338,hycA,1
332,1.603301411907655e-11,1.5522489547729492,cydA,1
1267,0.00038512515910113054,1.5478707551956177,ydfO,1
70,6.578286353369874e-15,-1.5417695045471191,nrdD,1
33,3.210818725349855e-15,-1.5409079790115356,tatE,1
130,4.7224652768257084e-14,1.5300407409667969,gatD,1
141,6.694332494203852e-14,1.5214884281158447,wzc,1
28,3.210818725349855e-15,1.5163092613220215,ompT,1
1393,0.0010534647487450688,1.516289234161377,napD,1
2021,0.03154856674080261,1.51082444190979,araB,1
306,9.643948591911338e-12,-1.5089240074157715,prpR,1
709,2.2390471104052915e-07,-1.5009937286376953,trpB,1
81,9.437884260855934e-15,-1.4975942373275757,ygbE,1
480,1.7941815721367788e-09,1.4905096292495728,argI,1
827,1.5512524687975156e-06,-1.484822154045105,trpC,1
588,1.9037263445440656e-08,1.480033040046692,ydeS,1
675,1.1519636497095708e-07,-1.4764761924743652,trpA,1
17,3.210818725349855e-15,1.4674367904663086,spy,1
73,8.185009686245587e-15,1.4532145261764526,groS,1
159,1.2825478694611942e-13,1.449880838394165,leuC,1
94,1.6907118155860836e-14,-1.4471675157546997,puuA,1
586,1.8679291941543876e-08,-1.4422576427459717,glnK,1
368,6.579763547738224e-11,1.4413280487060547,rcsA,1
1224,0.00024624732213055964,1.4395387172698975,yehD,1
1757,0.009715187350091517,1.4385126829147339,araA,1
214,7.994831333076797e-13,-1.435660481452942,mntS,1
292,6.6367886626369425e-12,1.4343554973602295,pagP,1
908,5.1332199592207075e-06,1.4285045862197876,metA,1
411,2.7079219717174177e-10,1.4246268272399902,ibpA,1
238,1.843140013444992e-12,-1.4219037294387817,dadA,1
192,3.359336843727126e-13,1.4122177362442017,pspB,1
803,1.0834022752567e-06,-1.4113256931304932,sthA,1
711,2.2390471104052915e-07,1.4097224473953247,malK,1
259,3.084886531755023e-12,1.406143307685852,htpG,1
177,2.132327521604904e-13,1.402754783630371,hybB,1
89,1.3177293036264018e-14,-1.4021168947219849,ygbA,1
52,3.9209456226710285e-15,-1.38571298122406,yecE,1
1685,0.006786447136199706,1.3832437992095947,nirD,1
226,1.18599910610405e-12,-1.3737013339996338,uxaB,1
490,2.569148439105631e-09,1.3723886013031006,pinE,1
842,1.8510940534310407e-06,1.3688926696777344,ypdK,1
235,1.7731929074399095e-12,1.36629056930542,focA,1
595,2.249198680986644e-08,-1.3647023439407349,phoE,1
1090,4.720205322784776e-05,-1.3612197637557983,inaA,1
26,3.210818725349855e-15,-1.3541239500045776,queE,1
301,8.834515532879102e-12,1.352426528930664,stpA,1
220,1.08928118506185e-12,-1.350537896156311,astA,1
109,2.2075913597618952e-14,1.3490362167358398,yccT,1
166,1.5602552597272932e-13,1.3450847864151,leuD,1
491,2.569148439105631e-09,1.3438653945922852,cadC,1
894,4.026163937538122e-06,-1.3429917097091675,trpD,1
449,8.063171589950633e-10,1.3429380655288696,borD,1
603,2.476342567280513e-08,1.3416868448257446,yqeI,1
139,6.119278354664898e-14,1.3287239074707031,dppD,1
215,8.379655221997655e-13,1.3264857530593872,malE,1
426,4.723988095793625e-10,-1.322088599205017,yfiM,1
516,4.284986499607231e-09,-1.3131173849105835,yceA,1
487,2.247450916392986e-09,-1.3129639625549316,yqhA,1
1611,0.004629218510235195,1.3106108903884888,yqeJ,1
278,4.518181885484995e-12,1.3069334030151367,clpB,1
665,9.070048770126111e-08,-1.3057880401611328,yeaC,1
538,7.486526132818906e-09,-1.295836329460144,xanP,1
258,3.084886531755023e-12,1.295323133468628,fimB,1
237,1.843140013444992e-12,-1.2940607070922852,psiE,1
157,1.269375019451675e-13,1.292702555656433,wcaC,1
149,9.696166185756723e-14,-1.2915236949920654,livH,1
58,5.542358277973569e-15,1.2912063598632812,yeeE,1
398,1.7768443552981956e-10,-1.2906153202056885,hcaR,1
971,1.1127513025915917e-05,1.2905899286270142,metK,1
169,1.6242727117258248e-13,-1.2828752994537354,bioB,1
47,3.4369487661813884e-15,-1.2824527025222778,nadA,1
955,9.105470929717346e-06,1.2792197465896606,napF,1
386,1.16499115507618e-10,-1.2769314050674438,alaE,1
127,3.925489558409205e-14,1.2597956657409668,groL,1
60,5.96870119073312e-15,-1.2596122026443481,yedZ,1
1248,0.00033700407439620004,-1.2562782764434814,ycgZ,1
114,2.5516418082744147e-14,1.2559466361999512,cpsG,1
445,7.380995877763063e-10,1.2472279071807861,yhfZ,1
444,7.380995877763063e-10,1.2468600273132324,dnaK,1
727,2.8029720266434314e-07,-1.2465364933013916,pdhR,1
207,5.565126229711648e-13,1.246207594871521,leuB,1
335,1.6804433048483427e-11,-1.2385375499725342,puuD,1
178,2.2991244930499176e-13,1.2350744009017944,yedE,1
309,9.643948591911338e-12,-1.229565978050232,glnP,1
422,3.9145261642083567e-10,1.2267471551895142,ycjM,1
115,2.6859971109888994e-14,-1.2229266166687012,norW,1
620,3.44141040088996e-08,1.2176427841186523,hypA,1
8,3.210818725349855e-15,1.2114882469177246,yobB,1
541,7.823679204080442e-09,1.2078289985656738,pspG,1
1132,7.856622215994918e-05,1.207619071006775,ypfM,1
829,1.5512524687975156e-06,1.2065192461013794,tdcA,1
68,6.578286353369874e-15,-1.2044790983200073,bioA,1
1060,3.2364930039464696e-05,-1.201940894126892,purK,1
269,3.5546602919835062e-12,1.2015546560287476,ssuA,1
254,2.708805567441382e-12,1.1977128982543945,hslV,1
64,6.44156000148636e-15,-1.1958974599838257,nadB,1
512,4.034370334094287e-09,1.1947101354599,srlA,1
1211,0.00021261878396630518,-1.1925147771835327,ymgA,1
568,1.4716130643299857e-08,-1.1910070180892944,mqo,1
379,9.652907392358871e-11,1.1883161067962646,yjbF,1
145,7.003307732051525e-14,-1.1753591299057007,patA,1
1392,0.001026594982255485,1.1697248220443726,ygcW,1
471,1.5103735639243948e-09,-1.1656379699707031,nudE,1
99,2.0453086389822196e-14,-1.164751648902893,livK,1
315,1.1715884481166757e-11,-1.1617857217788696,yjcB,1
314,1.1142293107343886e-11,-1.1612567901611328,xylE,1
117,3.031505954187782e-14,-1.158522129058838,fecB,1
256,2.988165469787001e-12,-1.157516360282898,bioF,1
650,7.477455326646905e-08,-1.1574287414550781,feaR,1
804,1.1254418780053398e-06,-1.154680609703064,yhfL,1
102,2.2075913597618952e-14,1.153713583946228,ssuD,1
744,4.2966303215354403e-07,1.1498960256576538,mdtJ,1
297,7.879721142396186e-12,1.1460037231445312,iraD,1
473,1.5777133783155727e-09,1.143363356590271,feoA,1
381,9.876340968807013e-11,1.129546046257019,ygeV,1
167,1.6242727117258248e-13,-1.1277689933776855,livM,1
564,1.2369459894406693e-08,-1.1269493103027344,fadI,1
136,5.722900695867368e-14,1.1267712116241455,cpsB,1
839,1.8510940534310407e-06,-1.1242116689682007,cyoA,1
72,6.90014679712228e-15,1.1151105165481567,cysP,1
546,8.893740958330418e-09,1.1112864017486572,bssS,1
228,1.2431664854707943e-12,1.1096992492675781,ycjX,1
255,2.988165469787001e-12,1.108884572982788,murR,1
867,3.1797893415060114e-06,1.1034901142120361,yadV,1
485,2.1477680358034645e-09,-1.1021565198898315,mntR,1
590,1.943489320721216e-08,-1.1019231081008911,ygjH,1
61,5.96870119073312e-15,1.1016185283660889,glsA,1
243,2.0905607551475203e-12,1.0998321771621704,tauB,1
174,1.9889465684822542e-13,-1.0970107316970825,gcd,1
840,1.8510940534310407e-06,-1.0961295366287231,rspB,1
352,2.862195462494653e-11,-1.0939829349517822,argT,1
229,1.2975031045883927e-12,1.093335509300232,wcaJ,1
88,1.3177293036264018e-14,1.0888007879257202,frdA,1
357,3.4780004672103387e-11,1.0841776132583618,thrA,1
978,1.3195583288467665e-05,1.0812791585922241,ydjO,1
432,5.152065332415455e-10,1.0791089534759521,dctR,1
15,3.210818725349855e-15,1.0758399963378906,cysU,1
290,6.331121193625953e-12,-1.07485830783844,trxB,1
320,1.3176482361772956e-11,1.07056725025177,ompW,1
1213,0.00021261878396630518,1.0668628215789795,araG,1
666,9.070048770126111e-08,1.0645378828048706,yjbG,1
560,1.1397696006287446e-08,-1.0644021034240723,pmrR,1
74,8.473858846014244e-15,1.0632251501083374,ybdR,1
371,7.272408216599042e-11,-1.0599356889724731,eamA,1
76,9.332951427059687e-15,1.0558671951293945,ivy,1
1391,0.001026594982255485,1.0536926984786987,leuL,1
199,3.635553040156989e-13,-1.0510447025299072,glpD,1
333,1.603301411907655e-11,1.0470361709594727,yjiG,1
437,5.887195755641677e-10,-1.0470134019851685,can,1
566,1.2919436805088726e-08,1.045701265335083,cnu,1
305,9.260330376591817e-12,-1.0449835062026978,asr,1
656,8.086053462489635e-08,-1.0407313108444214,yjjY,1
622,3.733420222489712e-08,1.0370515584945679,yhfY,1
180,2.353234981919292e-13,1.0317001342773438,dppF,1
1747,0.00890341010878009,1.0303244590759277,ynfN,1
376,8.784738567504406e-11,-1.0283851623535156,betI,1
1285,0.00043556316668256237,1.0272095203399658,ydeR,1
388,1.219381031501639e-10,1.0266687870025635,leuA,1
331,1.603301411907655e-11,1.0256593227386475,ymgD,1
677,1.1519636497095708e-07,1.0251529216766357,metQ,1
146,7.824244009985293e-14,1.0222128629684448,pspE,1
279,4.736679824581302e-12,1.022112250328064,hslU,1
391,1.3391994121016917e-10,1.0169435739517212,ybfA,1
1483,0.0019888249332425953,1.0152759552001953,pyrB,1
359,4.258754260398798e-11,1.0108407735824585,fxsA,1
581,1.7952594220982096e-08,1.0093486309051514,dcuC,1
459,1.031973702011342e-09,1.0076260566711426,rbsD,1
472,1.5103735639243948e-09,1.0073044300079346,fruA,1
113,2.5516418082744147e-14,1.0034852027893066,thrB,1
859,2.7676355009027753e-06,0.9987329244613647,arpA,1
341,2.0453789256227196e-11,0.9969987869262695,hypB,1
742,4.2966303215354403e-07,-0.9969038963317871,pyrC,1
10,3.210818725349855e-15,0.995810866355896,gdhA,1
257,2.988165469787001e-12,-0.9947559833526611,yoaF,1
693,1.6450414370451215e-07,-0.9915651679039001,purC,1
724,2.7045671276846083e-07,-0.989967405796051,ydgC,1
596,2.249198680986644e-08,-0.9898489713668823,trxC,1
460,1.1070627689619918e-09,-0.9884046316146851,iscR,1
573,1.5963008674718687e-08,-0.9882693290710449,lldP,1
1820,0.012904689638352266,-0.987693190574646,yhjX,1
340,2.0453789256227196e-11,0.9834418892860413,epd,1
132,5.597007506614796e-14,0.9820130467414856,thrC,1
369,6.579763547738224e-11,0.9805798530578613,artJ,1
330,1.603301411907655e-11,-0.9805022478103638,csiD,1
670,1.0660228659515512e-07,0.9789844751358032,adiY,1
405,2.359771801587381e-10,0.9758728742599487,add,1
817,1.3736120451757674e-06,-0.9720900654792786,glpE,1
83,9.67879882739843e-15,-0.9695678949356079,pncB,1
475,1.647998166553622e-09,0.9656735062599182,yfbM,1
841,1.8510940534310407e-06,-0.9626518487930298,sdhC,1
121,3.031505954187782e-14,-0.9566265940666199,yiaU,1
111,2.3029164064141217e-14,0.954603374004364,yeeD,1
79,9.437884260855934e-15,-0.9536663889884949,yphH,1
158,1.2825478694611942e-13,0.9524262547492981,yebE,1
1129,7.736033645771101e-05,-0.9518868923187256,rutA,1
190,3.0586463897518627e-13,-0.950951099395752,nrdH,1
