,left_out_strain,hidden_dim,basal_dim,weight_decay_ae,weight_decay_p,weight_decay_c,lr_ae,lr_p,lr_c,lam,batch_size,num_epochs,r2_x,r2_p,acc_c,r2_dp,acc_dc
lso_0001,pBADmin,256,5,0.0,0.0,0.0,2,1.4,1.0,0.001,32,5000,0.2430468680456076,0.40515744114377994,1.0,-1.1191076924362365e+33,1.0
lso_0001,pJ2007_IcaR,256,5,0.0,0.0,0.0,2,1.4,1.0,0.001,32,5000,0.1362526365760948,-2.848026846319962,1.0,-3.8957371707507017e+31,0.0
lso_0002,pBADmin,256,5,0.0,0.0,0.0,2,1.2,1.0,0.001,64,1000,0.7089533585084155,0.013317132154279598,1.0,-0.5595285679406471,0.9245283018867925
lso_0002,pJ2007_IcaR,256,5,0.0,0.0,0.0,2,1.2,1.0,0.001,64,1000,0.7046008924412251,-3.0101184297457775,1.0,-103.30787749949691,0.11009174311926606
lso_0002,landing_pads,256,5,0.0,0.0,0.0,2,1.2,1.0,0.001,64,1000,0.7719393939521796,0.7989162898320942,1.0,-0.2206948276646671,0.8349514563106796
lso_0002,PhlF_Gate,256,5,0.0,0.0,0.0,2,1.2,1.0,0.001,64,1000,0.768094576850612,0.38389338016876273,1.0,-2.849771888996639,0.8796296296296297
lso_0002,pTACmin,256,5,0.0,0.0,0.0,2,1.2,1.0,0.001,64,1000,0.7076587242188225,0.5676330246379013,1.0,-1.1715378465364574,0.875
lso_0002,wild-type,256,5,0.0,0.0,0.0,2,1.2,1.0,0.001,64,1000,0.7795203562132864,0.7444742911926752,1.0,0.0841487324397625,0.038461538461538464
lso_0002,NAND_Circuit,256,5,0.0,0.0,0.0,2,1.2,1.0,0.001,64,1000,0.7274812497986538,0.2642851067229224,1.0,-2.004639240663527,0.9626168224299065
lso_0002,pJ2007_PhlF,256,5,0.0,0.0,0.0,2,1.2,1.0,0.001,64,1000,0.7846744955172854,0.6612887044877981,1.0,-16.967174284167783,0.3867924528301887
lso_0002,IcaR_Gate,256,5,0.0,0.0,0.0,2,1.2,1.0,0.001,64,1000,0.6115519624248771,-0.03277942673033823,1.0,-3.3941551298859385,0.9636363636363636
lso_0003,pBADmin,256,5,1e-05,1e-05,0.0,2,1.2,1.0,0.001,64,1000,0.7006913039528025,0.5317463825050264,1.0,-0.6119265327946806,0.7830188679245284
lso_0003,pJ2007_IcaR,256,5,1e-05,1e-05,0.0,2,1.2,1.0,0.001,64,1000,0.6893469996050363,-1.9307379914496214,1.0,-106.78240921110678,0.08256880733944955
lso_0003,landing_pads,256,5,1e-05,1e-05,0.0,2,1.2,1.0,0.001,64,1000,0.7346568861537429,0.8147951410790708,1.0,-0.4599770349455903,1.0
lso_0003,PhlF_Gate,256,5,1e-05,1e-05,0.0,2,1.2,1.0,0.001,64,1000,0.7769029467871333,0.17021338923172233,1.0,-2.59646311327737,0.9629629629629629
lso_0003,pTACmin,256,5,1e-05,1e-05,0.0,2,1.2,1.0,0.001,64,1000,0.6464629876943363,0.3970787010177414,1.0,-1.286271968587118,0.7980769230769231
lso_0003,wild-type,256,5,1e-05,1e-05,0.0,2,1.2,1.0,0.001,64,1000,0.7084465845243266,0.6532737091605852,1.0,0.09468173215976224,0.10576923076923077
lso_0003,NAND_Circuit,256,5,1e-05,1e-05,0.0,2,1.2,1.0,0.001,64,1000,0.7372742361164288,0.3242574056519957,1.0,-2.508445673349905,0.8037383177570093
lso_0003,pJ2007_PhlF,256,5,1e-05,1e-05,0.0,2,1.2,1.0,0.001,64,1000,0.7846735434456601,0.47526150085596924,1.0,-16.425027909372144,0.39622641509433965
lso_0004,pBADmin,256,5,1e-06,1e-06,0.0,2,1.4,1.0,0.001,64,2000,0.7389485876522904,0.5628706629445234,1.0,-0.9458439755485588,0.9339622641509434
lso_0004,pJ2007_IcaR,256,5,1e-06,1e-06,0.0,2,1.4,1.0,0.001,64,2000,0.7791876554710365,-1.2445020007379002,1.0,-97.63984334257009,0.03669724770642202
lso_0004,landing_pads,256,5,1e-06,1e-06,0.0,2,1.4,1.0,0.001,64,2000,0.030685876145948986,0.7575176705703117,1.0,-9.341686929056057e+31,0.941747572815534
lso_0005,pBADmin,256,2,0.0,0.0,0.0,1.9,1.3,1.0,0.001,128,1500,0.6052904955502302,-0.6114777437700031,1.0,-0.4721816761990867,0.9811320754716981
lso_0005,pJ2007_IcaR,256,2,0.0,0.0,0.0,1.9,1.3,1.0,0.001,128,1500,-0.13324165415740868,-33.03148605988928,1.0,-242.12388970283942,0.009174311926605505
lso_0006,pBADmin,256,5,1e-07,1e-07,0.0,2.1,1.3,1.0,0.001,16,1000,0.7713306553265957,0.4485977503035565,1.0,-0.5129787933900497,1.0
lso_0006,pJ2007_IcaR,256,5,1e-07,1e-07,0.0,2.1,1.3,1.0,0.001,16,1000,0.7896724763490415,-1.5335585200163935,1.0,-96.56998082281139,0.08256880733944955
lso_0006,landing_pads,256,5,1e-07,1e-07,0.0,2.1,1.3,1.0,0.001,16,1000,0.8165053812916483,0.7482999715012019,1.0,-0.270813404835114,0.9805825242718447
lso_0006,PhlF_Gate,256,5,1e-07,1e-07,0.0,2.1,1.3,1.0,0.001,16,1000,0.7820815734133235,0.06357978748126178,1.0,-2.7180790735471696,1.0
lso_0006,pTACmin,256,5,1e-07,1e-07,0.0,2.1,1.3,1.0,0.001,16,1000,0.7842566285829143,0.4045807746096826,1.0,-1.2071143725408395,0.9903846153846154
lso_0006,wild-type,256,5,1e-07,1e-07,0.0,2.1,1.3,1.0,0.001,16,1000,0.815539653101669,0.9101471546570105,1.0,0.023597829794547626,0.019230769230769232
lso_0006,NAND_Circuit,256,5,1e-07,1e-07,0.0,2.1,1.3,1.0,0.001,16,1000,0.7522065496741183,0.308146703980268,1.0,-2.2217717588727335,1.0
lso_0006,pJ2007_PhlF,256,5,1e-07,1e-07,0.0,2.1,1.3,1.0,0.001,16,1000,0.8475063039340387,0.47243788353238436,1.0,-19.080279789127292,0.08490566037735849
lso_0006,IcaR_Gate,256,5,1e-07,1e-07,0.0,2.1,1.3,1.0,0.001,16,1000,0.7860415241537643,0.1452434167336165,1.0,-2.3950369489923076,0.9818181818181818
lso_0007,pBADmin,512,6,5.358399410104715e-07,6.834875870077975e-07,0.0,1.6285175512867442,1.18592824486385,1.0,0.0008376461430174689,16,1000,0.8098401302554374,0.5524158242351757,1.0,-1.1206474824069714,0.8679245283018868
lso_0007,pJ2007_IcaR,512,6,5.358399410104715e-07,6.834875870077975e-07,0.0,1.6285175512867442,1.18592824486385,1.0,0.0008376461430174689,16,1000,0.8402795468725316,-0.8685975058837093,1.0,-98.73403053652306,0.2018348623853211
lso_0007,landing_pads,512,6,5.358399410104715e-07,6.834875870077975e-07,0.0,1.6285175512867442,1.18592824486385,1.0,0.0008376461430174689,16,1000,0.8486516005598179,0.8889081547379348,1.0,-0.4225423074630697,0.9902912621359223
lso_0007,PhlF_Gate,512,6,5.358399410104715e-07,6.834875870077975e-07,0.0,1.6285175512867442,1.18592824486385,1.0,0.0008376461430174689,16,1000,0.8116490161012594,0.4791652157719591,1.0,-2.0740541690529177,0.9722222222222222
lso_0007,pTACmin,512,6,5.358399410104715e-07,6.834875870077975e-07,0.0,1.6285175512867442,1.18592824486385,1.0,0.0008376461430174689,16,1000,0.7786375827098094,0.6346024593524956,1.0,-0.8306631011815194,0.9807692307692307
lso_0007,wild-type,512,6,5.358399410104715e-07,6.834875870077975e-07,0.0,1.6285175512867442,1.18592824486385,1.0,0.0008376461430174689,16,1000,0.8496650409877047,0.9943249507085787,1.0,0.010602563257734935,0.08653846153846154
lso_0007,NAND_Circuit,512,6,5.358399410104715e-07,6.834875870077975e-07,0.0,1.6285175512867442,1.18592824486385,1.0,0.0008376461430174689,16,1000,0.8107924296115612,0.5725226041369472,1.0,-1.956850899069425,0.9906542056074766
lso_0007,pJ2007_PhlF,512,6,5.358399410104715e-07,6.834875870077975e-07,0.0,1.6285175512867442,1.18592824486385,1.0,0.0008376461430174689,16,1000,0.8751648628794684,0.3975911839718684,1.0,-17.344311047846507,0.18867924528301888
lso_0007,IcaR_Gate,512,6,5.358399410104715e-07,6.834875870077975e-07,0.0,1.6285175512867442,1.18592824486385,1.0,0.0008376461430174689,16,1000,0.7906697064569037,-0.061910190713255014,1.0,-2.9864519879472815,0.8909090909090909
lso_0008,pBADmin,512,6,9.940942615267539e-07,8.319310396538521e-07,0.0,1.7333816802431725,1.1706492392982344,1.0,0.0006129127641811012,8,1000,0.7945178517939506,0.39820115805459916,1.0,-1.4881839007542343,0.7924528301886793
lso_0008,pJ2007_IcaR,512,6,9.940942615267539e-07,8.319310396538521e-07,0.0,1.7333816802431725,1.1706492392982344,1.0,0.0006129127641811012,8,1000,0.8291709013492107,-0.896333632305253,1.0,-92.33782787200147,0.06422018348623854
lso_0008,landing_pads,512,6,9.940942615267539e-07,8.319310396538521e-07,0.0,1.7333816802431725,1.1706492392982344,1.0,0.0006129127641811012,8,1000,0.8441772790011548,0.8146888944220514,1.0,-0.3523347622980563,0.9805825242718447
lso_0008,PhlF_Gate,512,6,9.940942615267539e-07,8.319310396538521e-07,0.0,1.7333816802431725,1.1706492392982344,1.0,0.0006129127641811012,8,1000,0.789604775181061,0.3463168679244803,1.0,-2.418263667770455,0.8518518518518519
lso_0008,pTACmin,512,6,9.940942615267539e-07,8.319310396538521e-07,0.0,1.7333816802431725,1.1706492392982344,1.0,0.0006129127641811012,8,1000,0.7390447920346052,0.42847429501737394,1.0,-1.5975341526943103,1.0
lso_0008,wild-type,512,6,9.940942615267539e-07,8.319310396538521e-07,0.0,1.7333816802431725,1.1706492392982344,1.0,0.0006129127641811012,8,1000,0.8604261561083956,0.9982653737510822,1.0,0.07849870089503282,0.11538461538461539
lso_0008,NAND_Circuit,512,6,9.940942615267539e-07,8.319310396538521e-07,0.0,1.7333816802431725,1.1706492392982344,1.0,0.0006129127641811012,8,1000,0.8059692918633378,-0.17202871144182227,1.0,-2.0933416407277865,1.0
