

Software Version	3.09.07



Experiment File Path:	C:\Users\bccl-thinkstation\Documents\aqib\platereader\adp1_antibiotic_10.12.22.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	10/12/2022
Time	1:46:33 PM
Reader Type:	Synergy H1
Reader Serial Number:	20012722
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 28:00:00 (HH:MM:SS), Interval 0:05:00, 337 Reads
    Shake	Double Orbital: Continuous
	Frequency: 807 cpm (1 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
    Read	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 579,  Emission: 616
	    Optics: Bottom,  Gain: 70
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
End Kinetic	

Read 1:600

Time	T° Read 1:600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:03:18	30.0	0.039	0.036	0.036	0.036	0.035	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.067	0.065	0.066	0.061	0.061	0.061	0.062	0.061	0.061	0.035	0.037	0.036	0.067	0.067	0.070	0.060	0.060	0.061	0.061	0.062	0.060	0.035	0.036	0.036	0.064	0.065	0.065	0.059	0.058	0.058	0.059	0.059	0.059	0.036	0.035	0.036	0.037	0.036	0.308	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.035	0.037	0.036	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.035	0.036	0.040	0.036	0.036	0.036	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.036	0.036
0:08:18	30.0	0.039	0.036	0.036	0.036	0.035	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.068	0.066	0.068	0.061	0.061	0.061	0.061	0.061	0.062	0.035	0.038	0.037	0.068	0.068	0.071	0.061	0.061	0.061	0.062	0.062	0.061	0.035	0.036	0.036	0.065	0.066	0.066	0.059	0.058	0.058	0.060	0.060	0.060	0.036	0.035	0.036	0.037	0.036	0.326	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.036	0.037	0.036	0.036	0.036	0.036	0.037	0.036	0.036	0.036	0.036	0.035	0.035	0.036	0.037	0.036	0.037	0.036	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.036	0.036
0:13:18	30.0	0.039	0.036	0.036	0.036	0.035	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.070	0.068	0.069	0.062	0.061	0.061	0.062	0.062	0.063	0.035	0.037	0.036	0.069	0.069	0.072	0.061	0.061	0.061	0.062	0.063	0.061	0.035	0.036	0.036	0.066	0.067	0.067	0.060	0.059	0.059	0.060	0.060	0.060	0.036	0.035	0.036	0.037	0.036	0.305	0.036	0.036	0.036	0.036	0.039	0.036	0.036	0.035	0.036	0.037	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.035	0.036	0.040	0.036	0.038	0.036	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.036	0.036
0:18:18	29.9	0.039	0.036	0.036	0.036	0.034	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.072	0.070	0.071	0.062	0.062	0.062	0.063	0.064	0.064	0.035	0.036	0.036	0.071	0.071	0.074	0.062	0.062	0.062	0.063	0.064	0.062	0.035	0.036	0.036	0.068	0.069	0.068	0.060	0.059	0.059	0.061	0.061	0.061	0.036	0.035	0.036	0.037	0.036	0.301	0.036	0.036	0.036	0.036	0.041	0.036	0.036	0.035	0.035	0.037	0.036	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.035	0.036	0.042	0.036	0.038	0.036	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.036	0.036
0:23:18	30.0	0.039	0.036	0.036	0.036	0.035	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.074	0.072	0.073	0.063	0.063	0.063	0.064	0.065	0.065	0.035	0.038	0.036	0.073	0.073	0.076	0.062	0.062	0.062	0.064	0.065	0.063	0.035	0.036	0.036	0.069	0.070	0.070	0.060	0.060	0.059	0.062	0.062	0.062	0.036	0.035	0.036	0.037	0.036	0.300	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.035	0.036	0.049	0.036	0.038	0.036	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.036	0.036
0:28:18	30.0	0.039	0.036	0.036	0.036	0.035	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.076	0.075	0.076	0.064	0.064	0.063	0.065	0.066	0.066	0.035	0.037	0.037	0.075	0.075	0.078	0.063	0.063	0.063	0.065	0.066	0.064	0.035	0.036	0.036	0.072	0.073	0.073	0.061	0.060	0.060	0.063	0.063	0.063	0.036	0.035	0.036	0.037	0.036	0.062	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.036	0.040	0.036	0.038	0.036	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.036	0.036
0:33:18	30.0	0.039	0.036	0.036	0.036	0.035	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.079	0.077	0.079	0.065	0.064	0.064	0.067	0.067	0.067	0.035	0.037	0.036	0.077	0.077	0.081	0.064	0.064	0.064	0.067	0.067	0.065	0.035	0.036	0.036	0.073	0.075	0.075	0.062	0.061	0.061	0.064	0.064	0.065	0.036	0.035	0.036	0.037	0.036	0.037	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.035	0.036	0.050	0.036	0.038	0.036	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.037	0.036	0.036	0.048	0.036	0.036	0.036
0:38:18	30.0	0.039	0.036	0.036	0.036	0.035	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.082	0.081	0.082	0.065	0.065	0.065	0.068	0.068	0.068	0.035	0.037	0.037	0.080	0.080	0.083	0.065	0.064	0.064	0.067	0.068	0.066	0.035	0.036	0.036	0.075	0.078	0.078	0.062	0.062	0.061	0.065	0.065	0.066	0.036	0.036	0.036	0.037	0.036	0.038	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.036	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.036	0.051	0.036	0.038	0.036	0.035	0.036	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.037	0.036	0.036	0.040	0.036	0.036	0.036
0:43:18	30.0	0.039	0.036	0.036	0.036	0.035	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.085	0.084	0.085	0.066	0.066	0.066	0.070	0.070	0.070	0.035	0.038	0.037	0.083	0.083	0.086	0.065	0.065	0.065	0.069	0.069	0.068	0.035	0.036	0.036	0.077	0.081	0.081	0.063	0.062	0.062	0.066	0.066	0.067	0.036	0.036	0.036	0.037	0.036	0.038	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.036	0.037	0.036	0.036	0.036	0.036	0.036	0.037	0.036	0.036	0.036	0.035	0.035	0.036	0.049	0.036	0.037	0.036	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.037	0.036	0.036	0.045	0.036	0.036	0.036
0:48:18	30.0	0.039	0.036	0.036	0.036	0.035	0.036	0.036	0.035	0.036	0.035	0.035	0.035	0.036	0.037	0.088	0.086	0.088	0.067	0.067	0.066	0.071	0.070	0.071	0.035	0.037	0.037	0.086	0.086	0.090	0.066	0.066	0.065	0.070	0.070	0.069	0.035	0.036	0.036	0.080	0.084	0.084	0.063	0.063	0.063	0.068	0.068	0.068	0.036	0.036	0.036	0.037	0.036	0.038	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.036	0.037	0.036	0.036	0.036	0.036	0.037	0.036	0.036	0.036	0.036	0.035	0.035	0.036	0.049	0.036	0.039	0.036	0.035	0.036	0.036	0.036	0.035	0.035	0.035	0.035	0.035	0.035	0.037	0.036	0.036	0.044	0.036	0.036	0.036
