

Software Version	3.10.06



Experiment File Path:	C:\Users\yeung\OneDrive\Documents\aqib\platereader\adp1_antibiotic_10.16.22.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	10/16/2022
Time	12:30:04 PM
Reader Type:	Synergy H1
Reader Serial Number:	21010726
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 28:00:00 (HH:MM:SS), Interval 0:05:00, 337 Reads
    Shake	Double Orbital: Continuous
	Frequency: 807 cpm (1 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
    Read	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 579,  Emission: 616
	    Optics: Bottom,  Gain: 70
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
End Kinetic	

Read 1:600

Time	T° Read 1:600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:03:18	30.0	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.036	0.035	0.335	0.337	0.339	0.298	0.297	0.302	0.235	0.243	0.245	0.035	0.037	0.035	0.331	0.332	0.333	0.287	0.295	0.282	0.242	0.247	0.239	0.036	0.037	0.037	0.331	0.327	0.325	0.281	0.275	0.288	0.247	0.243	0.248	0.037	0.036	0.036	0.043	0.043	0.042	0.042	0.042	0.041	0.043	0.043	0.042	0.037	0.037	0.035	0.044	0.044	0.041	0.042	0.042	0.042	0.041	0.043	0.043	0.038	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.036	0.041	0.037
0:08:18	30.1	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.036	0.035	0.341	0.345	0.346	0.305	0.303	0.307	0.241	0.249	0.248	0.035	0.037	0.035	0.335	0.339	0.338	0.294	0.299	0.295	0.246	0.253	0.242	0.036	0.037	0.037	0.337	0.334	0.329	0.286	0.290	0.296	0.251	0.245	0.252	0.037	0.036	0.036	0.043	0.042	0.042	0.042	0.042	0.041	0.043	0.043	0.042	0.037	0.037	0.035	0.043	0.044	0.041	0.042	0.042	0.042	0.041	0.043	0.043	0.037	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.036	0.041	0.037
0:13:18	30.0	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.036	0.035	0.351	0.353	0.351	0.304	0.301	0.307	0.244	0.253	0.254	0.035	0.037	0.035	0.342	0.346	0.345	0.298	0.301	0.300	0.252	0.257	0.247	0.036	0.037	0.037	0.346	0.343	0.336	0.288	0.294	0.299	0.256	0.253	0.255	0.037	0.036	0.036	0.043	0.042	0.042	0.042	0.043	0.041	0.043	0.043	0.042	0.037	0.037	0.035	0.043	0.044	0.041	0.042	0.042	0.042	0.041	0.043	0.043	0.038	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.037	0.040	0.037
0:18:18	30.1	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.035	0.035	0.355	0.358	0.360	0.311	0.309	0.316	0.253	0.262	0.262	0.035	0.037	0.035	0.347	0.349	0.356	0.302	0.308	0.306	0.259	0.264	0.255	0.036	0.037	0.037	0.350	0.351	0.342	0.297	0.300	0.307	0.264	0.259	0.263	0.037	0.036	0.036	0.043	0.042	0.042	0.042	0.043	0.041	0.043	0.043	0.042	0.039	0.037	0.036	0.044	0.044	0.041	0.042	0.042	0.042	0.041	0.043	0.043	0.038	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.037	0.041	0.037
0:23:18	30.0	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.035	0.035	0.364	0.366	0.369	0.319	0.316	0.324	0.260	0.269	0.270	0.035	0.037	0.035	0.355	0.357	0.363	0.309	0.314	0.311	0.267	0.272	0.262	0.036	0.037	0.037	0.358	0.361	0.347	0.304	0.304	0.313	0.271	0.267	0.268	0.037	0.036	0.036	0.043	0.042	0.042	0.042	0.042	0.041	0.043	0.042	0.042	0.037	0.037	0.035	0.044	0.044	0.041	0.041	0.042	0.042	0.041	0.043	0.043	0.037	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.036	0.041	0.037
0:28:18	30.0	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.035	0.035	0.375	0.378	0.378	0.332	0.326	0.331	0.271	0.280	0.280	0.035	0.037	0.035	0.365	0.368	0.371	0.321	0.327	0.320	0.278	0.283	0.272	0.036	0.037	0.037	0.368	0.374	0.358	0.316	0.314	0.325	0.282	0.276	0.276	0.037	0.036	0.036	0.043	0.042	0.042	0.042	0.042	0.041	0.043	0.043	0.042	0.037	0.037	0.035	0.044	0.044	0.041	0.042	0.042	0.042	0.041	0.043	0.043	0.038	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.037	0.041	0.037
0:33:18	30.0	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.035	0.035	0.386	0.390	0.392	0.339	0.336	0.341	0.281	0.290	0.291	0.035	0.037	0.035	0.378	0.379	0.382	0.330	0.333	0.331	0.287	0.293	0.283	0.036	0.037	0.037	0.383	0.381	0.370	0.324	0.326	0.333	0.290	0.288	0.283	0.037	0.036	0.037	0.043	0.043	0.042	0.042	0.043	0.041	0.043	0.043	0.042	0.037	0.037	0.036	0.044	0.044	0.041	0.042	0.042	0.042	0.041	0.043	0.043	0.037	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.036	0.041	0.037
0:38:18	30.0	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.036	0.035	0.395	0.399	0.401	0.343	0.340	0.347	0.290	0.301	0.301	0.035	0.037	0.035	0.383	0.386	0.391	0.333	0.337	0.338	0.294	0.300	0.289	0.036	0.037	0.037	0.390	0.388	0.376	0.327	0.332	0.334	0.297	0.295	0.291	0.037	0.036	0.037	0.043	0.042	0.042	0.042	0.042	0.041	0.043	0.043	0.042	0.037	0.037	0.035	0.044	0.044	0.041	0.041	0.042	0.042	0.041	0.043	0.043	0.038	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.037	0.041	0.037
0:43:18	30.0	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.035	0.035	0.405	0.409	0.412	0.351	0.351	0.358	0.301	0.314	0.314	0.035	0.037	0.035	0.394	0.395	0.397	0.340	0.345	0.350	0.305	0.312	0.300	0.036	0.037	0.037	0.398	0.397	0.387	0.334	0.344	0.342	0.310	0.306	0.302	0.037	0.036	0.037	0.043	0.043	0.042	0.042	0.043	0.041	0.043	0.043	0.042	0.037	0.037	0.035	0.043	0.044	0.041	0.042	0.042	0.042	0.041	0.043	0.043	0.038	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.037	0.041	0.037
0:48:18	30.0	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.035	0.035	0.036	0.035	0.416	0.419	0.423	0.358	0.359	0.366	0.312	0.325	0.324	0.035	0.037	0.035	0.406	0.406	0.407	0.348	0.351	0.359	0.317	0.323	0.313	0.036	0.037	0.037	0.406	0.404	0.395	0.342	0.351	0.350	0.320	0.316	0.311	0.037	0.036	0.037	0.043	0.042	0.042	0.042	0.042	0.041	0.043	0.042	0.042	0.037	0.037	0.035	0.043	0.044	0.041	0.042	0.042	0.042	0.041	0.043	0.043	0.038	0.036	0.035	0.043	0.042	0.041	0.042	0.043	0.042	0.043	0.043	0.043	0.038	0.036	0.037	0.035	0.035	0.036	0.035	0.037	0.036	0.037	0.036	0.036	0.041	0.037
